step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,77.2,28.63157894736842,4.0,32.1016956075212,0.0,-8.516511523208848,0,38.52904584040747,2.089161290322581,0.0,38.52904584040747,38.52904584040747,2.089161290322581
1,77.2,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.52904584040747,38.52904584040747,2.089161290322581
2,77.2,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.52904584040747,38.52904584040747,2.089161290322581
3,77.2,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.52904584040747,38.52904584040747,2.089161290322581
4,77.2,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.52904584040747,38.52904584040747,2.089161290322581
5,76.1,35.42179544746583,4.0,-11.17586539074281,0.0,-19.901762608051587,0,8.765639152792648,-0.039741935483871504,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
6,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
7,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
8,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
9,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
10,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
11,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
12,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
13,76.1,35.42179544746583,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.29468499320012,47.29468499320012,2.0494193548387094
14,61.7,31.42416879246789,4.083809013393801,-77.30895252553671,0.0,-63.16548574629601,0,-13.669914666833977,-0.4735521124067315,0.0,33.624770326366146,33.624770326366146,1.575867242431978
15,61.7,31.42416879246789,4.083809013393801,0.0,0.0,0.0,0,0.0,0.0,0.0,33.624770326366146,33.624770326366146,1.575867242431978
