episode,step,score,best_score
1,15,-56.38312230875832,32.1016956075212
2,43,-116.58903888419974,34.39152504216602
3,52,-114.92764295655536,48.69034461315103
4,54,-85.97747754529912,-85.97747754529912
5,115,-120.43732739153292,47.4287360194747
6,125,-61.054233879563625,18.921950798512142
7,132,-56.383122308758324,20.925830216778387
8,137,-85.97747754529912,0.0
9,139,-85.97747754529912,-85.97747754529912
10,148,-91.6934069447178,0.0
11,174,-6.893718092496371,44.39152504216602
12,201,-119.86151659652346,50.64530770276711
13,203,-85.97747754529912,-85.97747754529912
14,217,-91.6934069447178,0.0
15,229,-126.17814619296004,43.98572343600214
16,273,-8.136213909567502,48.92568997716107
17,331,-124.17453074362044,48.63813060760156
18,364,10.658213153233348,55.32250809706659
19,387,-124.14023096283667,55.32250809706657
20,419,8.665802542277035,55.32250809706657
21,449,8.665802542277035,55.32250809706657
22,482,4.33823901462236,59.85663551684614
23,490,-122.66990873277138,55.32250809706657
24,498,-122.66990873277138,55.32250809706657
25,531,4.535549143438843,59.85663551684614
26,539,-122.66990873277138,55.32250809706657
27,544,-116.04948114047274,32.1016956075212
28,579,10.590866248186657,42.40190419286817
29,586,-122.66990873277135,55.32250809706659
30,594,-122.66990873277138,65.32250809706657
31,607,-120.69002446140045,58.690344613151
32,617,-122.66990873277135,55.32250809706659
33,622,-116.04948114047274,32.1016956075212
34,632,-122.66990873277138,65.32250809706657
35,642,-121.91540139614979,58.69034461315103
36,651,-115.41873485939412,71.40217828660246
37,658,-114.57656204853784,65.32250809706659
38,667,-121.91540139614979,68.690344613151
39,675,-122.66990873277138,55.32250809706657
40,684,-122.66990873277135,65.32250809706659
41,693,-121.91540139614979,65.32250809706657
42,704,-121.91540139614979,68.69034461315101
43,709,-116.04948114047274,32.1016956075212
44,714,-116.04948114047274,32.1016956075212
45,719,-116.04948114047274,32.1016956075212
46,724,-116.04948114047274,32.1016956075212
47,730,-116.04948114047274,32.1016956075212
48,738,-122.66990873277135,65.32250809706659
49,742,-116.04948114047274,32.1016956075212
50,751,-121.91540139614979,65.32250809706659
51,756,-116.04948114047274,32.1016956075212
52,764,-122.66990873277135,65.32250809706659
53,770,-116.04948114047274,32.1016956075212
54,780,-125.89169655009985,81.40217828660248
55,789,-122.66990873277138,65.32250809706657
56,795,-116.04948114047274,32.1016956075212
57,803,-122.66990873277135,65.32250809706659
58,807,-9.546870924425782,32.1016956075212
59,811,-116.04948114047274,32.1016956075212
60,816,-116.04948114047274,32.1016956075212
61,821,-116.04948114047274,32.1016956075212
62,829,-122.66990873277135,65.32250809706659
63,841,-120.69002446140045,68.69034461315101
64,846,-116.04948114047274,32.1016956075212
65,851,-116.04948114047274,32.1016956075212
66,862,-125.89169655009985,81.40217828660246
67,869,-115.89107325208118,32.1016956075212
68,878,-122.66990873277135,65.32250809706659
69,886,-18.019685353608963,68.69034461315101
70,896,-121.91540139614979,68.69034461315101
71,902,-116.04948114047274,32.1016956075212
72,912,-125.60669870237902,70.51178235743073
73,918,-116.04948114047274,32.1016956075212
74,926,-122.66990873277135,65.32250809706659
75,932,-116.04948114047274,32.1016956075212
76,937,-116.04948114047274,32.1016956075212
77,944,-126.17814619296004,63.98572343600213
78,954,-125.89169655009985,81.40217828660248
79,959,-116.04948114047274,32.1016956075212
80,964,-116.04948114047274,32.1016956075212
81,976,-6.579541179611155,81.40217828660246
82,982,-116.04948114047274,32.1016956075212
83,987,-116.04948114047274,32.1016956075212
84,996,-122.66990873277135,65.32250809706659
85,1007,-125.89169655009985,81.40217828660248
86,1012,-116.04948114047274,32.1016956075212
87,1017,-116.04948114047274,32.1016956075212
88,1022,-116.04948114047274,32.1016956075212
89,1029,-125.98627563809285,70.51178235743075
90,1034,-116.04948114047274,32.1016956075212
91,1039,-116.04948114047274,32.1016956075212
92,1044,-116.04948114047274,32.1016956075212
93,1050,-116.04948114047274,32.1016956075212
94,1055,-116.04948114047274,32.1016956075212
95,1069,-119.9331366191863,65.32250809706657
96,1079,-121.91540139614979,68.69034461315101
97,1086,-114.57656204853784,65.32250809706659
98,1089,-85.97747754529912,0.0
99,1099,-115.41873485939409,81.40217828660248
100,1109,-125.89169655009985,81.40217828660248
101,1114,-116.04948114047274,32.1016956075212
102,1119,-116.04948114047274,32.1016956075212
103,1127,-113.42136792657183,70.51178235743073
104,1137,-121.91540139614979,65.32250809706659
105,1142,-116.04948114047274,32.1016956075212
106,1147,-116.04948114047274,32.1016956075212
107,1154,-113.42136792657183,70.51178235743073
108,1161,-116.04948114047274,32.1016956075212
109,1169,-122.66990873277135,65.32250809706659
110,1176,-114.92764295655536,68.69034461315103
111,1186,-115.41873485939412,81.40217828660246
112,1190,-116.04948114047274,32.1016956075212
113,1195,-116.04948114047274,32.1016956075212
114,1200,-116.04948114047274,32.1016956075212
115,1207,-115.89107325208118,32.1016956075212
116,1213,-15.47934136415546,65.32250809706659
117,1223,-125.89169655009985,81.40217828660246
118,1232,-121.91540139614979,68.69034461315103
119,1234,-85.97747754529912,-85.97747754529912
120,1239,-116.04948114047274,32.1016956075212
121,1243,-116.04948114047274,32.1016956075212
122,1250,-116.04948114047274,32.1016956075212
123,1255,-116.04948114047274,32.1016956075212
124,1261,-116.04948114047274,32.1016956075212
125,1269,-115.89107325208118,20.925830216778387
126,1274,-116.04948114047274,32.1016956075212
127,1279,-116.04948114047274,32.1016956075212
128,1287,-114.57656204853784,65.32250809706659
129,1304,-122.91181972469833,81.40217828660246
130,1311,-114.57656204853784,65.32250809706659
131,1318,-114.57656204853784,65.32250809706659
132,1325,-116.04948114047274,32.1016956075212
133,1331,-115.89107325208118,32.1016956075212
134,1337,-114.57656204853784,65.32250809706659
135,1345,-126.17814619296004,70.51178235743073
136,1349,-9.546870924425782,32.1016956075212
137,1355,-116.04948114047274,32.1016956075212
138,1361,-116.04948114047274,32.1016956075212
139,1366,-116.04948114047274,32.1016956075212
140,1371,-116.04948114047274,32.1016956075212
141,1376,-116.04948114047274,32.1016956075212
142,1383,-125.98627563809285,70.51178235743073
143,1390,-125.98627563809285,70.51178235743073
144,1396,-116.04948114047274,32.1016956075212
145,1401,-116.04948114047274,32.1016956075212
146,1406,-116.04948114047274,32.1016956075212
147,1414,-114.57656204853784,65.32250809706657
148,1420,-116.04948114047274,32.1016956075212
149,1425,-116.04948114047274,32.1016956075212
150,1430,-116.04948114047274,32.1016956075212
151,1438,-114.92764295655536,68.69034461315103
152,1444,-114.57656204853784,65.32250809706659
153,1450,-125.98627563809285,70.51178235743075
154,1455,-116.04948114047274,32.1016956075212
155,1460,-116.04948114047274,32.1016956075212
156,1468,-125.98627563809285,70.51178235743073
157,1475,-114.57656204853784,65.32250809706659
158,1484,-116.95016065363944,36.31769111501603
159,1491,-125.98627563809285,70.51178235743075
160,1498,-114.92764295655539,68.69034461315101
161,1506,-114.57656204853784,65.32250809706657
162,1509,-9.546870924425782,32.1016956075212
163,1514,-116.04948114047274,32.1016956075212
164,1523,-115.26400125319152,68.69034461315098
165,1528,-116.04948114047274,32.1016956075212
166,1532,-9.546870924425782,32.1016956075212
167,1539,-114.57656204853784,65.32250809706659
168,1544,-116.04948114047274,32.1016956075212
169,1551,-116.04948114047274,32.1016956075212
170,1556,-116.04948114047274,32.1016956075212
171,1564,-114.57656204853784,65.32250809706657
172,1571,-125.98627563809285,70.51178235743073
173,1576,-116.04948114047274,32.1016956075212
174,1581,-116.04948114047274,32.1016956075212
175,1589,-125.98627563809285,70.51178235743073
176,1595,-116.04948114047274,32.1016956075212
177,1600,-116.04948114047274,32.1016956075212
178,1606,-125.98627563809285,70.51178235743073
179,1611,-116.04948114047274,32.1016956075212
180,1616,-116.04948114047274,32.1016956075212
181,1622,-116.04948114047274,32.1016956075212
182,1630,-117.14104240958031,36.31769111501602
183,1636,-116.04948114047274,32.1016956075212
184,1640,-116.04948114047274,32.1016956075212
185,1648,-122.66990873277135,65.32250809706659
186,1652,-9.546870924425782,32.1016956075212
187,1659,-114.57656204853784,65.32250809706659
188,1664,-116.04948114047274,32.1016956075212
189,1672,-114.57656204853784,65.32250809706659
190,1677,-116.04948114047274,32.1016956075212
191,1684,-114.57656204853784,65.32250809706657
192,1691,-114.57656204853784,65.32250809706659
193,1700,-114.57656204853784,65.32250809706657
194,1708,-114.57656204853784,65.32250809706657
195,1713,-116.04948114047274,32.1016956075212
196,1718,-116.04948114047274,32.1016956075212
197,1725,-125.98627563809285,70.51178235743075
198,1732,-114.57656204853784,65.32250809706659
199,1737,-116.04948114047274,32.1016956075212
200,1742,-116.04948114047274,32.1016956075212
201,1748,-116.04948114047274,32.1016956075212
202,1756,-125.98627563809285,70.51178235743073
203,1762,-116.04948114047274,32.1016956075212
204,1767,-116.04948114047274,32.1016956075212
205,1774,-125.98627563809285,70.51178235743075
206,1783,-126.17814619296004,63.98572343600213
207,1788,-116.04948114047274,32.1016956075212
208,1795,-116.04948114047274,32.1016956075212
209,1800,-116.04948114047274,32.1016956075212
210,1806,-125.98627563809285,70.51178235743073
211,1811,-116.04948114047274,32.1016956075212
212,1816,-116.04948114047274,32.1016956075212
213,1821,-116.04948114047274,32.1016956075212
214,1828,-114.57656204853784,65.32250809706659
215,1833,-116.04948114047274,32.1016956075212
216,1838,-116.04948114047274,32.1016956075212
217,1842,-116.04948114047274,32.1016956075212
218,1847,-116.04948114047274,32.1016956075212
219,1853,-125.98627563809285,70.51178235743073
220,1860,-125.98627563809285,70.51178235743075
221,1866,-116.04948114047274,32.1016956075212
222,1871,-116.04948114047274,32.1016956075212
223,1875,-116.04948114047274,32.1016956075212
224,1880,-116.04948114047274,32.1016956075212
225,1885,-116.04948114047274,32.1016956075212
226,1891,-116.04948114047274,32.1016956075212
227,1896,-116.04948114047274,32.1016956075212
228,1901,-116.04948114047274,32.1016956075212
229,1906,-116.04948114047274,32.1016956075212
230,1911,-116.04948114047274,32.1016956075212
231,1918,-125.98627563809285,70.51178235743073
232,1926,-125.98627563809285,70.51178235743073
233,1931,-116.04948114047274,32.1016956075212
234,1936,-116.04948114047274,32.1016956075212
235,1941,-116.04948114047274,32.1016956075212
236,1951,-120.42269427014884,15.456822071413988
237,1957,-116.04948114047274,32.1016956075212
238,1962,-116.04948114047274,32.1016956075212
239,1967,-116.04948114047274,32.1016956075212
240,1972,-116.04948114047274,32.1016956075212
241,1981,-115.41873485939409,81.40217828660248
242,1987,-116.04948114047274,32.1016956075212
243,1994,-114.92764295655539,68.69034461315101
244,1999,-116.04948114047274,32.1016956075212
245,2004,-116.04948114047274,32.1016956075212
246,2011,-125.98627563809285,70.51178235743075
247,2016,-116.04948114047274,32.1016956075212
248,2022,-125.98627563809285,70.51178235743073
249,2027,-116.04948114047274,32.1016956075212
250,2032,-116.04948114047274,32.1016956075212
251,2041,-119.25507180048336,63.0520937769291
252,2045,-116.04948114047274,32.1016956075212
253,2051,-116.04948114047274,32.1016956075212
254,2056,-116.04948114047274,32.1016956075212
255,2061,-116.04948114047274,32.1016956075212
