step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
41,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
42,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
43,68.8,28.63157894736842,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.45250988743535,38.45250988743535,2.083815028901734
44,35.7,57.26315789473684,8.0,-102.40844020131665,0.0,-104.01969666617823,0,1.5060541527228486,0.10520231213872834,0.0,39.958564040158194,39.958564040158194,2.1890173410404623
45,35.7,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.958564040158194,39.958564040158194,2.1890173410404623
46,66.5,57.26315789473684,8.0,110.64686562254347,0.0,72.47248168582307,0,35.68189838758745,2.4924855491329474,0.0,75.64046242774565,75.64046242774565,4.68150289017341
47,66.5,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.64046242774565,75.64046242774565,4.68150289017341
48,66.5,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.64046242774565,75.64046242774565,4.68150289017341
49,66.5,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.64046242774565,75.64046242774565,4.68150289017341
50,66.5,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.64046242774565,75.64046242774565,4.68150289017341
51,51.05,58.38457287028775,8.19804484438887,-71.25300376039279,0.0,-53.36431236666016,0,-16.74067307746436,-1.1480183162682622,0.0,58.89978935028128,58.89978935028128,3.5334845739051475
52,51.05,58.38457287028775,8.19804484438887,0.0,0.0,0.0,0,0.0,0.0,0.0,58.89978935028128,58.89978935028128,3.5334845739051475
53,69.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,68.45,2.1702990237994992,1.0,-16.56758465596797,0.0,-18.165485746296092,0,1.6054877955304336,-0.007586705202312149,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
55,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
56,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
57,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
58,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
59,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
60,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
61,68.45,2.1702990237994992,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6054877955304336,1.6054877955304336,-0.007586705202312149
