episode,step,score,best_score
1,10,-20.480947073693727,52.15509792394411
2,23,-85.1086405380103,0.0
3,32,-85.1086405380103,0.0
4,35,-85.1086405380103,0.0
5,52,-33.400357034159455,37.85264672623333
6,64,-83.0071365361585,0.0
7,83,-104.9957086420715,37.85264672623333
8,87,-53.98834023419707,29.61422130500651
9,91,-85.1086405380103,0.0
10,93,-85.1086405380103,-85.1086405380103
11,106,-20.480947073693727,52.15509792394411
12,110,-53.98834023419707,0.0
13,115,-104.9957086420715,37.85264672623333
14,119,-83.0071365361585,-16.56758465596797
15,125,-46.49598727120274,26.639979938072095
16,132,-95.00347605199603,-39.545013777184664
17,155,-84.01063814970217,-9.172183055374923
18,163,-104.9957086420715,37.85264672623333
19,166,-53.98834023419707,-53.98834023419707
20,191,-20.480947073693727,52.15509792394411
21,194,-83.0071365361585,-16.56758465596797
22,211,-33.400357034159455,37.85264672623333
23,230,-46.49598727120274,26.639979938072095
24,241,-104.9957086420715,37.85264672623333
25,243,-85.1086405380103,-85.1086405380103
26,259,-24.609139389684415,42.14449424469028
27,265,-53.98834023419707,29.61422130500651
28,280,-19.13128550285448,49.82838149354505
29,289,-84.01063814970217,-9.172183055374923
30,313,-109.35814962568925,40.18042469729431
31,331,-105.62578849846088,60.91467298608143
32,346,-54.179733036875945,29.61422130500651
33,359,-105.20170935951816,34.57910326459715
34,375,-54.179733036875945,29.61422130500651
35,409,-2.1674699309210723,52.56819741646396
36,449,5.343844306152874,56.82833028859069
37,478,-103.65663219723565,53.92105682507524
38,497,-107.91242169790706,32.05003748214618
39,533,6.979390116434644,70.36048737591383
40,566,-96.86012252506883,45.988864101572545
41,598,3.237278464585529,35.94598931841567
42,632,-4.763895841994753,41.70090445972902
43,666,2.554330835002645,36.414067062585715
44,675,-106.51849358644535,29.61422130500651
45,711,-106.16500404360954,50.37062442876635
46,738,-107.95820734912706,32.9711400097796
47,770,3.265815136110774,50.37062442876635
48,797,-96.00957399944687,53.701375101343956
49,800,-53.98834023419707,29.61422130500651
50,836,3.7527696648446636,49.585495456661675
51,855,-107.75605372926012,37.85264672623333
52,890,-1.6466207348984767,55.84312705365123
53,898,-103.80507099102688,29.61422130500651
54,931,-1.6466207348983914,55.843127053651315
55,945,-102.40186813278906,36.21518529158563
56,986,5.917291977534688,54.55186875557345
57,998,-101.37312910137416,36.21518529158563
58,1011,-107.59356820926607,49.828381493545095
59,1046,-112.27247574453398,43.45103939629149
60,1053,-103.80507099102688,29.61422130500651
61,1063,-105.85987485581501,29.61422130500651
62,1097,0.577552075835456,34.52243215321079
63,1106,-106.08355152844929,30.99163218324736
64,1142,-1.646620734898363,55.84312705365133
65,1152,-25.030061061876125,38.64516938728583
66,1158,-46.974978727827036,21.37955030749849
67,1185,-99.32823324782984,40.03626702663865
68,1196,-105.85987485581501,29.61422130500651
