step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,93.7,2.642472807400416,1.0,-21.835346556092375,0.0,-24.083759877556368,0,2.256535684333192,-0.00812236286919825,0.0,2.256535684333192,2.256535684333192,-0.00812236286919825
6,93.7,2.980596666360425,1.0,0.46788067318959875,0.0,0.0,0,0.46788067318959875,0.0,0.0,2.7244163575227907,2.7244163575227907,-0.00812236286919825
7,93.7,2.980596666360425,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.7244163575227907,2.7244163575227907,-0.00812236286919825
8,93.7,2.980596666360425,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.7244163575227907,2.7244163575227907,-0.00812236286919825
9,93.7,2.980596666360425,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.7244163575227907,2.7244163575227907,-0.00812236286919825
10,92.4,2.911986017973389,1.0300085785233952,-15.780742427733214,0.0,-15.64077191561054,0,-0.1508455633768234,0.01087505125414765,0.0,2.5735707941459673,2.5735707941459673,0.0027526883849493984
11,92.4,2.911986017973389,1.0300085785233952,0.0,0.0,0.0,0,0.0,0.0,0.0,2.5735707941459673,2.5735707941459673,0.0027526883849493984
12,80.7,2.6518719460627365,1.0584176989400462,-49.28139268415682,0.0,-48.39619270668172,0,-0.8131436584268953,-0.07205631904820661,0.0,1.760427135719072,1.760427135719072,-0.06930363066325722
13,91.9,3.02663157245862,1.0584176989400462,44.97732380330456,0.0,43.942556710413754,0,0.9472355025987135,0.08753159029208829,0.0,2.7076626383177853,2.7076626383177853,0.018227959628831072
14,91.9,3.02663157245862,1.0584176989400462,0.0,0.0,0.0,0,0.0,0.0,0.0,2.7076626383177853,2.7076626383177853,0.018227959628831072
15,92.0,48.023441612324774,4.233670795760185,64.14036705577057,0.0,0.8431808719198686,0,61.139376176739496,2.15781000711121,0.0,63.84703881505728,63.84703881505728,2.176037966740041
16,92.0,48.023441612324774,4.233670795760185,0.0,0.0,0.0,0,0.0,0.0,0.0,63.84703881505728,63.84703881505728,2.176037966740041
17,92.0,48.023441612324774,4.233670795760185,0.0,0.0,0.0,0,0.0,0.0,0.0,63.84703881505728,63.84703881505728,2.176037966740041
18,91.6,53.140054896092686,4.233670795760185,3.3765005883201353,0.0,-3.248772960041478,0,6.637778061260484,-0.012504512898870335,0.0,70.48481687631777,70.48481687631777,2.1635334538411706
19,91.6,53.140054896092686,4.233670795760185,0.0,0.0,0.0,0,0.0,0.0,0.0,70.48481687631777,70.48481687631777,2.1635334538411706
20,91.6,53.140054896092686,4.233670795760185,0.0,0.0,0.0,0,0.0,0.0,0.0,70.48481687631777,70.48481687631777,2.1635334538411706
21,91.6,53.140054896092686,4.233670795760185,0.0,0.0,0.0,0,0.0,0.0,0.0,70.48481687631777,70.48481687631777,2.1635334538411706
22,47.3,139.94798013744094,8.46734159152037,-53.44840023729198,0.0,-79.4142790716539,0,25.87209498762039,0.09378384674152346,0.0,96.35691186393815,96.35691186393815,2.257317300582694
23,91.8,106.26237514041479,8.46734159152037,130.08287965512423,0.0,80.99803894921038,0,46.30258658591533,2.7822541199985182,0.0,142.6594984498535,142.6594984498535,5.039571420581212
24,91.8,106.26237514041479,8.46734159152037,0.0,0.0,0.0,0,0.0,0.0,0.0,142.6594984498535,142.6594984498535,5.039571420581212
25,10.2,871.0214847658305,33.86936636608148,-115.48327216251299,0.0,-99.43962505906013,0,-12.854996314241074,-3.1886507892117852,0.0,129.8045021356124,129.8045021356124,1.8509206313694269
26,38.2,237.83956196702653,33.86936636608148,22.83134605730918,0.0,12.859694661573753,0,2.96912417236837,7.002527223367057,0.0,132.77362630798078,132.77362630798078,8.853447854736483
27,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,94.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,94.6,28.63157894736842,4.0,34.77546337706734,0.0,-5.918274131260439,0,38.59964468132356,2.094092827004219,0.0,38.59964468132356,38.59964468132356,2.094092827004219
30,93.7,57.26315789473684,8.0,23.81399460013979,0.0,-18.16548574629593,0,39.238552076393525,2.7409282700421946,0.0,77.83819675771709,77.83819675771709,4.835021097046414
31,93.7,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.83819675771709,77.83819675771709,4.835021097046414
32,93.7,57.26315789473684,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.83819675771709,77.83819675771709,4.835021097046414
33,87.9,80.87011486529477,8.0,-17.611139139061983,0.0,-43.007924821462765,0,25.739401716156056,-0.3426160337552744,0.0,103.57759847387314,103.57759847387314,4.492405063291139
34,76.7,101.24961379972679,8.0,-19.610803373913555,0.0,-28.657081796819554,0,9.707881798433425,-0.6616033755274261,0.0,113.28548027230656,113.28548027230656,3.830801687763713
35,92.7,93.30137303947059,8.0,73.0107977151148,0.0,59.0227316470997,0,13.042918388690216,0.9451476793248947,0.0,126.32839866099677,126.32839866099677,4.775949367088608
36,92.7,93.30137303947059,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,126.32839866099677,126.32839866099677,4.775949367088608
37,92.7,93.30137303947059,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,126.32839866099677,126.32839866099677,4.775949367088608
