episode,step,score,best_score
56,1325,55.451781484922364,104.12213731791341
57,1334,38.82790546275979,81.42990920287255
58,1340,17.88406145920085,43.31769854592501
59,1345,16.313409768686896,62.019176973224624
60,1351,20.92130846879732,62.019176973224624
61,1355,43.31769854592501,43.31769854592501
62,1361,20.92130846879732,62.019176973224624
63,1367,17.88406145920085,43.31769854592501
64,1374,20.92130846879732,62.019176973224624
65,1380,20.92130846879732,62.019176973224624
66,1387,20.92130846879732,62.019176973224624
67,1405,21.76024937309066,107.89302616727805
68,1411,20.92130846879732,36.91843960178949
69,1417,20.92130846879732,62.019176973224624
70,1422,16.313409768686896,62.019176973224624
71,1427,16.313409768686896,62.019176973224624
72,1432,16.313409768686896,62.019176973224624
73,1438,20.92130846879732,37.64514473294842
74,1443,16.313409768686896,62.019176973224624
75,1451,21.127451071690942,84.67085138889678
76,1455,16.313409768686896,62.019176973224624
77,1461,20.92130846879732,36.91843960178949
78,1466,16.313409768686896,62.019176973224624
79,1472,16.313409768686896,62.019176973224624
80,1477,16.313409768686896,62.019176973224624
81,1485,20.92130846879732,36.91843960178949
82,1491,20.92130846879732,62.019176973224624
83,1497,20.92130846879732,37.64514473294842
84,1504,16.313409768686896,62.019176973224624
85,1510,16.313409768686896,62.019176973224624
86,1516,20.92130846879732,36.91843960178949
87,1521,20.92130846879732,36.91843960178949
88,1529,38.82790546275979,81.42990920287255
89,1534,16.313409768686896,62.019176973224624
90,1539,16.313409768686896,62.019176973224624
91,1546,17.88406145920085,43.31769854592501
92,1554,17.31031880755114,93.27269832772961
93,1559,16.313409768686896,62.019176973224624
94,1564,16.313409768686896,62.019176973224624
95,1569,16.313409768686896,62.019176973224624
96,1575,20.92130846879732,36.91843960178949
97,1583,21.127451071690942,84.67085138889678
98,1588,16.313409768686896,62.019176973224624
99,1594,16.313409768686896,62.019176973224624
100,1599,16.313409768686896,62.019176973224624
101,1605,16.313409768686896,62.019176973224624
102,1610,16.313409768686896,62.019176973224624
103,1616,16.313409768686896,62.019176973224624
104,1622,16.313409768686896,62.019176973224624
105,1627,16.313409768686896,62.019176973224624
106,1632,16.313409768686896,62.019176973224624
107,1637,16.313409768686896,62.019176973224624
108,1643,16.313409768686896,62.019176973224624
109,1648,16.313409768686896,62.019176973224624
110,1655,17.884061459200836,62.019176973224624
111,1665,22.44727918026596,84.97200410531471
112,1670,16.313409768686896,62.019176973224624
113,1675,16.313409768686896,62.019176973224624
114,1680,16.313409768686896,62.019176973224624
115,1685,16.313409768686896,62.019176973224624
116,1690,16.313409768686896,62.019176973224624
117,1697,20.92130846879732,37.64514473294842
118,1703,17.884061459200836,43.317698545925
119,1708,16.313409768686896,62.019176973224624
120,1712,16.313409768686896,62.019176973224624
121,1718,16.313409768686896,62.019176973224624
122,1723,16.313409768686896,62.019176973224624
123,1728,17.88406145920085,43.31769854592501
124,1734,20.92130846879732,37.64514473294842
125,1741,17.884061459200836,62.019176973224624
126,1746,16.313409768686896,62.019176973224624
127,1751,17.88406145920085,43.31769854592501
128,1756,16.313409768686896,62.019176973224624
129,1761,16.313409768686896,62.019176973224624
130,1767,16.313409768686896,62.019176973224624
131,1773,16.313409768686896,62.019176973224624
132,1778,16.313409768686896,62.019176973224624
133,1783,16.313409768686896,62.019176973224624
134,1790,16.313409768686896,62.019176973224624
135,1795,16.313409768686896,62.019176973224624
136,1802,20.92130846879732,36.91843960178949
137,1809,16.313409768686896,62.019176973224624
138,1814,16.313409768686896,62.019176973224624
139,1821,21.127451071690942,84.67085138889678
140,1826,16.313409768686896,62.019176973224624
141,1831,16.313409768686896,62.019176973224624
142,1840,22.250243335132538,95.08480765902792
143,1845,16.313409768686896,62.019176973224624
144,1850,16.313409768686896,62.019176973224624
145,1856,17.884061459200836,62.019176973224624
146,1862,16.313409768686896,62.019176973224624
147,1867,16.313409768686896,62.019176973224624
148,1874,20.92130846879732,36.91843960178949
149,1879,16.313409768686896,62.019176973224624
150,1884,16.313409768686896,62.019176973224624
151,1890,19.94142572196604,25.630430699266935
152,1895,16.313409768686896,62.019176973224624
153,1900,16.313409768686896,62.019176973224624
154,1905,16.313409768686896,62.019176973224624
155,1911,16.313409768686896,62.019176973224624
156,1916,16.313409768686896,62.019176973224624
157,1921,16.313409768686896,62.019176973224624
158,1930,38.8279054627598,81.42990920287257
159,1935,16.313409768686896,62.019176973224624
160,1940,16.313409768686896,62.019176973224624
161,1945,16.313409768686896,62.019176973224624
162,1950,16.313409768686896,62.019176973224624
163,1955,16.313409768686896,62.019176973224624
164,1960,20.92130846879732,36.91843960178949
165,1968,17.310318807551155,93.27269832772963
166,1973,16.313409768686896,62.019176973224624
167,1978,17.88406145920085,43.31769854592501
168,1987,38.8279054627598,81.42990920287257
169,1993,16.313409768686896,62.019176973224624
170,2001,17.31031880755114,93.27269832772961
171,2006,16.313409768686896,62.019176973224624
172,2013,16.313409768686896,62.019176973224624
173,2018,16.313409768686896,62.019176973224624
174,2023,16.313409768686896,62.019176973224624
175,2028,16.313409768686896,62.019176973224624
176,2034,16.313409768686896,62.019176973224624
177,2039,16.313409768686896,62.019176973224624
178,2046,20.92130846879732,37.64514473294842
179,2054,21.127451071690942,84.67085138889678
180,2059,16.313409768686896,62.019176973224624
181,2064,16.313409768686896,62.019176973224624
182,2069,16.313409768686896,62.019176973224624
183,2075,16.313409768686896,62.019176973224624
184,2080,16.313409768686896,62.019176973224624
185,2085,16.313409768686896,62.019176973224624
186,2091,20.92130846879732,36.91843960178949
187,2096,16.313409768686896,62.019176973224624
188,2101,16.313409768686896,62.019176973224624
189,2108,17.88406145920085,43.31769854592501
190,2114,16.313409768686896,62.019176973224624
191,2120,20.92130846879732,37.64514473294842
192,2125,16.313409768686896,62.019176973224624
193,2130,16.313409768686896,62.019176973224624
194,2135,16.313409768686896,62.019176973224624
195,2140,16.313409768686896,62.019176973224624
196,2145,17.884061459200836,43.317698545925
197,2150,16.313409768686896,62.019176973224624
198,2155,16.313409768686896,62.019176973224624
199,2160,16.313409768686896,62.019176973224624
200,2169,21.127451071690928,84.67085138889676
201,2174,16.313409768686896,62.019176973224624
202,2179,16.313409768686896,62.019176973224624
203,2184,16.313409768686896,62.019176973224624
204,2188,16.313409768686896,62.019176973224624
205,2193,43.317698545925,43.317698545925
206,2198,16.313409768686896,62.019176973224624
207,2203,16.313409768686896,62.019176973224624
208,2210,20.92130846879732,36.91843960178949
209,2216,17.884061459200836,43.317698545925
210,2228,17.31031880755114,93.27269832772961
211,2234,17.884061459200836,43.317698545925
212,2242,16.313409768686896,62.019176973224624
213,2248,16.313409768686896,62.019176973224624
214,2253,16.313409768686896,62.019176973224624
215,2258,16.313409768686896,62.019176973224624
216,2263,16.313409768686896,62.019176973224624
217,2268,16.313409768686896,62.019176973224624
218,2273,16.313409768686896,62.019176973224624
219,2279,16.313409768686896,62.019176973224624
220,2285,17.88406145920085,43.31769854592501
221,2293,17.31031880755114,93.27269832772961
222,2299,17.88406145920085,43.31769854592501
223,2305,20.92130846879732,62.019176973224624
224,2311,20.92130846879732,62.019176973224624
225,2317,17.88406145920085,43.31769854592501
226,2325,38.8279054627598,81.42990920287257
227,2329,16.313409768686896,62.019176973224624
228,2335,17.88406145920085,43.31769854592501
229,2340,16.313409768686896,62.019176973224624
230,2346,16.313409768686896,62.019176973224624
231,2351,16.313409768686896,62.019176973224624
232,2356,16.313409768686896,62.019176973224624
233,2362,16.313409768686896,62.019176973224624
234,2367,16.313409768686896,62.019176973224624
235,2372,16.313409768686896,62.019176973224624
236,2378,17.884061459200836,43.317698545925
237,2383,16.313409768686896,62.019176973224624
238,2389,17.884061459200836,62.019176973224624
239,2397,17.31031880755114,93.27269832772961
240,2402,20.92130846879732,36.91843960178949
241,2407,16.313409768686896,62.019176973224624
242,2413,16.313409768686896,62.019176973224624
243,2420,20.92130846879732,37.64514473294842
244,2425,20.92130846879732,36.91843960178949
245,2430,16.313409768686896,62.019176973224624
246,2435,16.313409768686896,62.019176973224624
247,2444,38.8279054627598,81.42990920287257
248,2449,16.313409768686896,62.019176973224624
249,2454,16.313409768686896,62.019176973224624
250,2460,20.92130846879732,36.91843960178949
251,2465,16.313409768686896,62.019176973224624
252,2473,21.127451071690942,84.67085138889678
253,2480,17.884061459200836,43.317698545925
254,2486,16.313409768686896,62.019176973224624
255,2491,16.313409768686896,62.019176973224624
256,2496,16.313409768686896,62.019176973224624
257,2501,16.313409768686896,62.019176973224624
258,2506,16.313409768686896,62.019176973224624
259,2512,20.92130846879732,62.019176973224624
260,2517,16.313409768686896,62.019176973224624
261,2524,20.92130846879732,62.019176973224624
262,2532,16.313409768686896,62.019176973224624
263,2538,16.313409768686896,62.019176973224624
264,2544,20.92130846879732,36.91843960178949
265,2550,17.88406145920085,43.31769854592501
266,2559,17.884061459200836,62.019176973224624
267,2565,17.884061459200836,43.317698545925
268,2571,16.313409768686896,62.019176973224624
269,2575,16.313409768686896,62.019176973224624
270,2580,16.313409768686896,62.019176973224624
271,2586,20.92130846879732,62.019176973224624
272,2591,16.313409768686896,62.019176973224624
273,2597,20.92130846879732,36.91843960178949
274,2602,16.313409768686896,62.019176973224624
275,2608,20.92130846879732,37.64514473294842
276,2614,16.313409768686896,62.019176973224624
277,2622,17.310318807551155,93.27269832772963
278,2632,31.027174934331796,83.48002609208363
279,2636,16.313409768686896,62.019176973224624
280,2641,16.313409768686896,62.019176973224624
281,2646,16.313409768686896,62.019176973224624
282,2651,16.313409768686896,62.019176973224624
283,2656,16.313409768686896,62.019176973224624
284,2661,16.313409768686896,62.019176973224624
285,2667,17.88406145920085,43.31769854592501
286,2673,16.313409768686896,62.019176973224624
287,2678,16.313409768686896,62.019176973224624
288,2683,16.313409768686896,62.019176973224624
289,2688,16.313409768686896,62.019176973224624
290,2693,16.313409768686896,62.019176973224624
291,2699,16.313409768686896,62.019176973224624
292,2704,16.313409768686896,62.019176973224624
293,2709,16.313409768686896,62.019176973224624
294,2716,16.313409768686896,62.019176973224624
295,2720,16.313409768686896,62.019176973224624
296,2726,17.88406145920085,43.31769854592501
297,2731,16.313409768686896,62.019176973224624
298,2736,16.313409768686896,62.019176973224624
299,2742,20.92130846879732,37.64514473294842
300,2747,16.313409768686896,62.019176973224624
301,2753,20.92130846879732,37.64514473294842
302,2758,16.313409768686896,62.019176973224624
303,2764,16.313409768686896,62.019176973224624
304,2769,16.313409768686896,62.019176973224624
305,2774,17.884061459200836,62.019176973224624
306,2779,16.313409768686896,62.019176973224624
307,2784,16.313409768686896,62.019176973224624
308,2791,16.313409768686896,62.019176973224624
309,2796,17.88406145920085,43.31769854592501
310,2801,16.313409768686896,62.019176973224624
311,2806,16.313409768686896,62.019176973224624
312,2810,16.313409768686896,62.019176973224624
313,2816,20.92130846879732,62.019176973224624
314,2822,16.313409768686896,62.019176973224624
315,2827,43.31769854592501,43.31769854592501
316,2832,16.313409768686896,62.019176973224624
317,2838,20.92130846879732,36.91843960178949
318,2843,16.313409768686896,62.019176973224624
319,2849,17.88406145920085,43.31769854592501
320,2854,16.313409768686896,62.019176973224624
321,2860,20.92130846879732,37.64514473294842
322,2865,16.313409768686896,62.019176973224624
323,2872,17.884061459200836,43.317698545925
324,2877,16.313409768686896,62.019176973224624
325,2885,17.310318807551155,93.27269832772963
326,2890,16.313409768686896,62.019176973224624
327,2898,17.31031880755114,93.27269832772961
328,2903,16.313409768686896,62.019176973224624
329,2908,16.313409768686896,62.019176973224624
330,2913,16.313409768686896,62.019176973224624
331,2920,20.92130846879732,36.91843960178949
332,2927,16.313409768686896,62.019176973224624
333,2933,16.313409768686896,62.019176973224624
334,2938,16.313409768686896,62.019176973224624
335,2943,16.313409768686896,62.019176973224624
336,2948,16.313409768686896,62.019176973224624
337,2953,16.313409768686896,62.019176973224624
338,2965,5.458254925629163,84.67085138889678
339,2970,16.313409768686896,62.019176973224624
340,2977,16.313409768686896,62.019176973224624
341,2982,16.313409768686896,62.019176973224624
342,2988,20.92130846879732,62.019176973224624
343,2993,16.313409768686896,62.019176973224624
344,2998,20.92130846879732,36.91843960178949
345,3004,16.313409768686896,62.019176973224624
346,3011,20.92130846879732,36.91843960178949
347,3017,20.92130846879732,37.64514473294842
348,3022,16.313409768686896,62.019176973224624
349,3028,20.92130846879732,36.91843960178949
350,3033,16.313409768686896,62.019176973224624
351,3038,16.313409768686896,62.019176973224624
352,3044,16.313409768686896,62.019176973224624
353,3051,16.313409768686896,62.019176973224624
354,3058,16.313409768686896,62.019176973224624
355,3064,16.313409768686896,62.019176973224624
356,3069,16.313409768686896,62.019176973224624
357,3074,16.313409768686896,62.019176973224624
358,3080,20.92130846879732,36.91843960178949
359,3086,17.88406145920085,43.31769854592501
360,3092,17.884061459200836,43.317698545925
361,3097,16.313409768686896,62.019176973224624
362,3103,17.88406145920085,43.31769854592501
363,3108,16.313409768686896,62.019176973224624
364,3114,17.88406145920085,43.31769854592501
365,3120,20.92130846879732,62.019176973224624
366,3126,16.313409768686896,62.019176973224624
367,3131,16.313409768686896,62.019176973224624
368,3138,17.88406145920085,43.31769854592501
369,3143,16.313409768686896,62.019176973224624
370,3148,20.92130846879732,36.91843960178949
371,3156,21.127451071690928,84.67085138889676
372,3165,22.250243335132552,95.08480765902793
373,3170,16.313409768686896,62.019176973224624
374,3175,16.313409768686896,62.019176973224624
375,3181,16.313409768686896,62.019176973224624
376,3187,16.313409768686896,62.019176973224624
377,3192,17.88406145920085,43.31769854592501
378,3203,20.888485322922392,98.96540519889285
379,3208,16.313409768686896,62.019176973224624
380,3213,16.313409768686896,62.019176973224624
381,3218,16.313409768686896,62.019176973224624
382,3223,16.313409768686896,62.019176973224624
383,3228,20.92130846879732,36.91843960178949
384,3233,16.313409768686896,62.019176973224624
385,3239,17.88406145920085,43.31769854592501
386,3244,16.313409768686896,62.019176973224624
387,3250,20.92130846879732,37.64514473294842
388,3254,16.313409768686896,62.019176973224624
389,3259,17.884061459200836,43.317698545925
390,3265,16.313409768686896,62.019176973224624
391,3270,16.313409768686896,62.019176973224624
392,3275,16.313409768686896,62.019176973224624
393,3280,16.313409768686896,62.019176973224624
394,3286,17.884061459200836,62.019176973224624
395,3291,16.313409768686896,62.019176973224624
396,3296,16.313409768686896,62.019176973224624
397,3301,16.313409768686896,62.019176973224624
398,3306,16.313409768686896,62.019176973224624
399,3312,20.92130846879732,37.64514473294842
400,3319,21.127451071690942,84.67085138889678
401,3324,16.313409768686896,62.019176973224624
402,3329,16.313409768686896,62.019176973224624
403,3334,16.313409768686896,62.019176973224624
404,3339,16.313409768686896,62.019176973224624
405,3345,16.313409768686896,62.019176973224624
406,3350,16.313409768686896,62.019176973224624
407,3355,16.313409768686896,62.019176973224624
408,3361,20.92130846879732,37.64514473294842
409,3367,20.92130846879732,37.64514473294842
410,3372,16.313409768686896,62.019176973224624
411,3377,16.313409768686896,62.019176973224624
412,3382,20.92130846879732,36.91843960178949
413,3387,16.313409768686896,62.019176973224624
414,3392,16.313409768686896,62.019176973224624
415,3399,21.127451071690942,84.67085138889678
416,3404,16.313409768686896,62.019176973224624
417,3409,16.313409768686896,62.019176973224624
418,3414,16.313409768686896,62.019176973224624
419,3419,16.313409768686896,62.019176973224624
420,3424,20.92130846879732,36.91843960178949
421,3429,16.313409768686896,62.019176973224624
422,3434,16.313409768686896,62.019176973224624
423,3439,16.313409768686896,62.019176973224624
424,3445,16.313409768686896,62.019176973224624
425,3449,16.313409768686896,62.019176973224624
426,3457,38.8279054627598,81.42990920287257
427,3462,16.313409768686896,62.019176973224624
428,3467,16.313409768686896,62.019176973224624
429,3472,16.313409768686896,62.019176973224624
430,3476,16.313409768686896,62.019176973224624
431,3481,16.313409768686896,62.019176973224624
432,3486,16.313409768686896,62.019176973224624
433,3491,43.317698545925,62.019176973224624
434,3496,16.313409768686896,62.019176973224624
435,3503,20.92130846879732,62.019176973224624
436,3508,16.313409768686896,62.019176973224624
437,3513,16.313409768686896,62.019176973224624
438,3520,21.127451071690942,84.67085138889678
439,3526,16.313409768686896,62.019176973224624
440,3531,17.88406145920085,43.31769854592501
441,3537,16.313409768686896,62.019176973224624
442,3542,16.313409768686896,62.019176973224624
443,3547,16.313409768686896,62.019176973224624
444,3553,16.313409768686896,62.019176973224624
445,3558,16.313409768686896,62.019176973224624
446,3563,16.313409768686896,62.019176973224624
447,3570,21.127451071690942,84.67085138889678
448,3574,16.313409768686896,62.019176973224624
449,3580,16.313409768686896,62.019176973224624
450,3586,16.313409768686896,62.019176973224624
451,3592,20.92130846879732,62.019176973224624
452,3597,16.313409768686896,62.019176973224624
453,3602,16.313409768686896,62.019176973224624
454,3607,16.313409768686896,62.019176973224624
455,3612,16.313409768686896,62.019176973224624
456,3617,17.88406145920085,43.31769854592501
457,3621,16.313409768686896,62.019176973224624
458,3626,16.313409768686896,62.019176973224624
459,3631,16.313409768686896,62.019176973224624
460,3636,16.313409768686896,62.019176973224624
461,3642,16.313409768686896,62.019176973224624
462,3649,17.884061459200836,43.317698545925
463,3653,16.313409768686896,62.019176973224624
464,3658,16.313409768686896,62.019176973224624
465,3663,16.313409768686896,62.019176973224624
466,3668,16.313409768686896,62.019176973224624
467,3673,16.313409768686896,62.019176973224624
468,3678,16.313409768686896,62.019176973224624
469,3683,16.313409768686896,62.019176973224624
470,3688,17.884061459200836,62.019176973224624
471,3693,16.313409768686896,62.019176973224624
472,3699,16.313409768686896,62.019176973224624
473,3704,17.88406145920085,43.31769854592501
474,3709,16.313409768686896,62.019176973224624
475,3714,16.313409768686896,62.019176973224624
476,3719,16.313409768686896,62.019176973224624
477,3724,16.313409768686896,62.019176973224624
478,3729,20.92130846879732,36.91843960178949
479,3735,20.92130846879732,36.91843960178949
480,3740,16.313409768686896,62.019176973224624
481,3745,16.313409768686896,62.019176973224624
482,3750,16.313409768686896,62.019176973224624
483,3757,17.884061459200836,62.019176973224624
484,3762,16.313409768686896,62.019176973224624
485,3766,16.313409768686896,62.019176973224624
486,3772,16.313409768686896,62.019176973224624
487,3777,16.313409768686896,62.019176973224624
