step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,78.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,78.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,78.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,78.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,78.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,78.1,16.0,4.0,21.005222079812185,0.0,-2.0625528562491913,0,20.971355498721223,2.096419437340153,0.0,20.971355498721223,20.971355498721223,2.096419437340153
6,77.5,20.23887226622689,4.0,-3.732518967256655,0.0,-9.4204683391955,0,5.709432747897924,-0.02148337595907903,0.0,26.680788246619148,26.680788246619148,2.074936061381074
7,77.5,20.23887226622689,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.680788246619148,26.680788246619148,2.074936061381074
8,77.5,20.23887226622689,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.680788246619148,26.680788246619148,2.074936061381074
9,77.5,20.23887226622689,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.680788246619148,26.680788246619148,2.074936061381074
10,47.3,18.202421245345413,4.113042779408142,-77.14963609657522,0.0,-63.44924658771792,0,-12.66692207185223,-1.0334674370050698,0.0,14.013866174766918,14.013866174766918,1.0414686243760043
11,47.3,18.202421245345413,4.113042779408142,0.0,0.0,0.0,0,0.0,0.0,0.0,14.013866174766918,14.013866174766918,1.0414686243760043
12,76.3,19.918464732309975,4.113042779408142,64.75363331102442,0.0,51.89147427955942,0,11.794450995378236,1.0677080360867686,0.0,25.808317170145152,25.808317170145152,2.109176660462773
13,71.4,19.428079771750795,4.229809166422837,-23.891258272024153,0.0,-21.411318356020097,0,-2.3741630271245757,-0.10577688887948157,0.0,23.434154143020578,23.434154143020578,2.0033997715832914
14,71.4,19.428079771750795,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,23.434154143020578,23.434154143020578,2.0033997715832914
15,70.8,20.250405317021407,4.229809166422837,-0.7928226726984098,0.0,-1.6037280587477065,0,0.8336230311886523,-0.022717645139355546,0.0,24.26777717420923,24.26777717420923,1.9806821264439358
16,70.5,20.607905012463235,4.229809166422837,-0.4282940400135674,0.0,-0.7593910960495021,0,0.34245587860561244,-0.011358822569677773,0.0,24.61023305281484,24.61023305281484,1.9693233038742581
17,70.5,20.607905012463235,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,24.61023305281484,24.61023305281484,1.9693233038742581
18,70.1,21.520969110476855,4.229809166422837,0.010395714615928654,0.0,-0.9727671652495329,0,0.9983079766250319,-0.015145096759570363,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
19,70.1,21.520969110476855,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
20,70.1,21.520969110476855,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
21,70.1,21.520969110476855,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
22,70.1,21.520969110476855,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
23,70.1,21.520969110476855,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.608541029439873,25.608541029439873,1.9541782071146878
24,70.1,21.538912625865777,4.229809166422837,0.022518882356380485,0.0,0.0,0,0.022518882356380485,0.0,0.0,25.631059911796253,25.631059911796253,1.9541782071146878
25,70.1,21.538912625865777,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.631059911796253,25.631059911796253,1.9541782071146878
26,70.1,21.538912625865777,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.631059911796253,25.631059911796253,1.9541782071146878
27,70.1,21.538912625865777,4.229809166422837,0.0,0.0,0.0,0,0.0,0.0,0.0,25.631059911796253,25.631059911796253,1.9541782071146878
