episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
1,4,-23.910937313487043,0.0,0,0.0,0.0,0.0,0.0
2,31,22.64009310797256,0.0,13,36.26347881688181,4.9,41.163478816881806,41.1634788168818
3,36,-0.15927255957130626,0.42750870031420946,32,21.04043321299639,2.1050541516245485,23.14548736462094,23.572996064935147
4,49,22.64009310797256,0.0,13,36.26347881688181,4.9,41.163478816881806,41.1634788168818
5,52,-23.910937313487043,0.0,0,0.0,0.0,0.0,0.0
6,80,26.87062434826182,-15.193094029696482,75,44.41071032258472,4.988021128367467,49.398731450952184,34.205637421255695
7,95,5.562334284813183,2.4257713394533233,91,24.00144041070083,2.185837100829687,26.187277511530517,28.613048850983848
8,111,14.572242468801882,6.5304227668707036,100,34.61299638989169,5.051624548736461,39.664620938628154,46.19504370549886
9,116,-21.507594097650372,0.0,0,0.0,0.0,0.0,0.0
10,156,32.64009310797257,-4.258255761604424,143,47.45349571248472,4.8696750902527075,52.32317080273742,48.06491504113299
11,165,-21.507594097650372,0.0,0,0.0,0.0,0.0,0.0
12,194,14.572242468801882,6.5304227668707036,100,34.61299638989169,5.051624548736461,39.664620938628154,46.19504370549886
13,232,3.2341800017390625,2.425771339453327,203,24.00144041070083,2.185837100829687,26.187277511530517,28.61304885098385
14,260,14.572242468801882,6.5304227668707036,100,34.61299638989169,5.051624548736461,39.664620938628154,46.19504370549886
15,265,-21.50963823563748,0.0,0,0.0,0.0,0.0,0.0
16,272,-0.15927255957130626,0.42750870031420946,268,21.04043321299639,2.1050541516245485,23.14548736462094,23.572996064935147
17,302,20.135920669540145,0.0,285,36.26347881688181,4.9,41.163478816881806,41.1634788168818
18,312,-22.85026617009733,6.530422766870707,307,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
19,329,36.41756014146036,-20.33274287314805,329,51.07869853250268,5.671604482105726,56.750303014608406,36.41756014146036
20,340,-22.850266170097328,6.530422766870707,334,0.1272895241599883,0.058534851032291155,0.18582437519227946,6.71624714206299
21,354,-25.63133089420466,6.530422766870707,345,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
22,373,-25.00487994139797,6.530422766870707,359,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
23,392,-25.00487994139797,6.530422766870707,380,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
24,395,-21.507594097650372,0.0,0,0.0,0.0,0.0,0.0
25,405,2.6568512663798494,-14.543794678813235,403,24.805937548477267,2.2774537798760783,27.083391328353347,12.53959664954011
26,421,-25.00487994139797,6.530422766870707,410,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
27,436,-25.00487994139797,6.530422766870707,425,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
28,453,-25.00487994139797,6.530422766870707,441,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
29,473,4.155548247881497,-2.2683809381585487,466,25.31412082656527,2.5562215219458935,27.870342348511162,25.60196141035262
30,489,-36.23890733779391,6.530422766870707,478,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
31,499,-22.850266170097328,6.530422766870707,495,0.16063371076096478,0.07365776257581878,0.23429147333678357,6.764714240207493
32,516,-25.00487994139797,6.530422766870707,505,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
33,532,3.348432269175528,1.447237048583716,527,25.531701901170777,2.5827427832106107,28.11444468438139,29.561681732965106
34,546,28.313267688631573,-10.417493458757498,543,49.953122442888,5.5841235516812,55.537245994569204,45.119752535811706
35,549,-21.507594097650372,0.0,0,0.0,0.0,0.0,0.0
36,561,7.5521843181211,6.5304227668707036,555,23.591997558903216,2.3919306741686293,25.983928233071847,32.51435099994254
37,573,7.5521843181211,6.5304227668707036,568,23.591997558903216,2.3919306741686293,25.983928233071847,32.51435099994254
38,588,-33.71170098582975,6.530422766870707,578,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
39,602,-27.884308415487105,6.530422766870707,593,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
40,621,3.745811745827714,6.530422766870707,608,0.16336403943794114,0.07365776257581878,0.23702180201375994,6.76744456888447
41,633,4.908556082230297,-4.8707933318562135,629,24.737874747077775,2.273114124244246,27.01098887132202,22.140195539465815
42,643,-22.850266170097328,6.530422766870707,637,0.1272895241599883,0.058534851032291155,0.18582437519227946,6.71624714206299
43,658,1.3778935673660317,6.530422766870707,649,23.504689270487823,2.381129169630049,25.885818440117873,32.41624120698859
44,671,7.605078993290727,-22.089083894717465,671,27.36740613146449,2.326756756543697,29.69416288800819,7.605078993290727
45,687,4.684542668051858,6.5304227668707036,677,23.591997558903216,2.3919306741686293,25.983928233071847,32.51435099994254
46,702,34.95842853811858,-20.33274287314805,702,49.75572820725078,5.535443204015846,55.29117141126663,34.95842853811858
47,712,32.14247056083951,6.530422766870707,710,23.504689270487823,2.381129169630049,25.885818440117873,32.41624120698859
48,730,31.89151916112952,-26.121691067482825,730,52.25139216961157,5.761818059000773,58.013210228612344,31.89151916112952
49,741,42.009504304728495,-18.87830893251715,741,55.586315163242226,5.301498074003444,60.887813237245666,42.009504304728495
50,751,-0.6615179015626715,6.530422766870707,747,23.50468927048783,2.381129169630049,25.88581844011788,32.41624120698859
51,770,4.155548247881497,-2.2683809381585487,763,25.31412082656527,2.5562215219458935,27.870342348511162,25.60196141035262
52,787,33.01640512955397,-4.2582557616044205,779,49.203465581761535,5.515837290932138,54.719302872693675,50.461047111089236
