episode,step,score,best_score
1,23,18.37651330960739,43.52170652205385
2,51,60.66681602619201,76.39300710978631
3,67,18.37651330960739,53.52170652205385
4,84,-64.01306742182982,2.214735171808487
5,105,-30.271193284338345,26.39300710978631
6,139,67.54745547704196,47.54745547704196
7,169,-56.62788430133172,69.27953497058661
8,209,-64.45217222263344,57.62865529600762
9,245,18.584871710429624,47.68936133971422
10,267,-0.6639251189298037,31.520451788808366
11,305,-41.85737891049736,23.576032209252944
12,313,-76.26654263546598,2.214735171808487
13,321,-76.26654263546598,2.214735171808487
14,330,-70.63647628250061,2.214735171808487
15,338,-76.26654263546598,2.214735171808487
16,347,-76.26654263546598,2.214735171808487
17,357,-42.533153757640974,23.576032209252947
18,365,-76.26654263546598,2.214735171808487
19,373,-70.63647628250064,2.214735171808487
20,382,-69.96768092334463,2.214735171808487
21,393,-76.26654263546598,2.214735171808487
22,403,-70.63647628250064,2.214735171808487
23,413,-70.63647628250064,2.214735171808487
24,424,-13.412231388035849,39.01550526451668
25,435,-70.63647628250061,2.214735171808487
26,443,14.545364516932697,33.24482417463057
27,453,-70.63647628250064,2.214735171808487
28,464,-19.531063005880817,32.38858270695261
29,471,14.54533636680479,23.576032209252944
30,480,-76.26654263546598,2.214735171808487
31,488,-40.82346856748977,2.214735171808487
32,497,-40.82346856748977,2.214735171808487
33,505,-70.63647628250064,-8.599351445928809
34,514,-74.75861595390208,2.214735171808487
35,523,-76.26654263546598,2.214735171808487
36,531,-76.26654263546598,2.214735171808487
37,541,-42.533153757640974,23.576032209252947
38,549,-74.75861595390208,2.214735171808487
39,556,12.31865892878854,33.24482417463057
40,565,-76.26654263546598,2.214735171808487
41,577,-12.694483591203124,30.09924255954725
42,584,13.372482359448071,13.372482359448071
43,593,-76.26654263546598,2.214735171808487
44,603,-70.63647628250064,2.214735171808487
45,612,-76.26654263546598,2.214735171808487
46,619,13.372482359448071,23.576032209252944
47,629,-42.533153757640974,23.576032209252944
48,639,-14.799649397918941,26.43587404676294
49,648,-76.26654263546598,2.214735171808487
50,657,-70.63647628250062,2.214735171808487
51,665,-30.25022103688353,33.24482417463057
52,675,67.54745547704196,67.54745547704196
53,684,-70.63647628250064,2.214735171808487
54,694,-42.533153757640974,23.576032209252944
55,701,15.750850911092687,38.665305402176756
56,710,-70.63647628250064,0.0
57,720,-42.533153757640974,2.214735171808487
58,729,-70.63647628250064,0.0
59,739,-70.63647628250062,2.214735171808487
60,746,14.54533636680479,23.576032209252944
61,757,-68.93700268341952,0.0
62,767,-19.53106300588081,32.38858270695262
63,777,-68.93700268341952,2.214735171808487
64,784,13.372482359448071,23.576032209252944
65,795,-42.533153757640974,23.576032209252947
66,804,-76.26654263546598,2.214735171808487
67,813,-70.63647628250064,2.214735171808487
68,823,-68.93700268341952,0.0
69,834,-18.174372076778774,12.14750759221015
70,844,-42.533153757640974,2.214735171808487
71,853,-70.63647628250061,2.214735171808487
72,862,-69.96768092334464,-8.599351445928809
73,871,-70.63647628250064,-8.599351445928809
74,879,-76.26654263546598,2.214735171808487
75,887,-76.26654263546598,2.214735171808487
76,899,-69.58085233438528,-8.599351445928809
77,908,-5.803278364596721,2.214735171808487
78,918,-76.26654263546598,2.214735171808487
79,929,60.66681602619198,71.89333729707187
80,941,-19.53106300588081,28.625441679732354
81,949,-76.26654263546598,2.214735171808487
82,958,-70.63647628250064,0.0
83,966,-76.26654263546598,2.214735171808487
84,972,-71.47744215630283,-11.349949693017031
85,981,52.13134969646421,52.13134969646421
86,989,-40.82346856748977,2.214735171808487
87,997,13.372482359448071,23.576032209252947
88,1006,16.364725754327058,16.364725754327058
89,1018,-68.93700268341952,0.0
90,1026,-76.26654263546598,2.214735171808487
91,1035,-40.82346856748977,2.214735171808487
92,1043,-76.26654263546598,2.214735171808487
93,1051,-76.26654263546598,2.214735171808487
94,1060,-19.53106300588081,28.625441679732354
95,1068,-76.26654263546598,2.214735171808487
96,1075,15.750850911092687,38.665305402176756
97,1085,-70.63647628250064,2.214735171808487
98,1094,13.372482359448071,13.372482359448071
99,1101,13.372482359448071,13.372482359448071
100,1111,-19.531063005880824,55.027037675519395
101,1118,-76.26654263546598,2.214735171808487
102,1127,-76.26654263546598,2.214735171808487
103,1134,-72.9642374805145,2.214735171808487
104,1143,-70.63647628250062,2.214735171808487
105,1153,-40.82346856748977,2.214735171808487
106,1161,-76.26654263546598,2.214735171808487
107,1170,-76.26654263546598,2.214735171808487
108,1178,-76.26654263546598,2.214735171808487
109,1186,-76.26654263546598,2.214735171808487
110,1195,-76.26654263546598,2.214735171808487
111,1203,-76.26654263546598,2.214735171808487
112,1211,-76.26654263546598,2.214735171808487
113,1220,-76.26654263546598,2.214735171808487
114,1230,-42.533153757640974,23.576032209252947
115,1238,-76.26654263546598,2.214735171808487
116,1248,-70.63647628250064,2.214735171808487
117,1256,-76.26654263546598,2.214735171808487
118,1264,-76.26654263546598,2.214735171808487
119,1273,-70.63647628250064,2.214735171808487
120,1284,-41.85737891049736,23.576032209252947
121,1292,67.54745547704196,67.54745547704196
122,1302,-74.75861595390208,2.214735171808487
123,1312,-76.26654263546598,2.214735171808487
124,1322,-19.53106300588081,28.62544167973235
125,1332,-42.533153757640974,23.576032209252947
126,1341,-76.26654263546598,2.214735171808487
127,1350,-70.63647628250064,2.214735171808487
128,1359,-70.63647628250062,2.214735171808487
129,1369,-42.533153757640974,23.576032209252944
130,1377,-76.26654263546598,2.214735171808487
131,1385,-76.26654263546598,2.214735171808487
132,1396,-11.374641200312496,19.65214097910605
133,1407,60.666816026191995,60.666816026191995
134,1415,-76.26654263546598,2.214735171808487
135,1425,-42.533153757640974,23.576032209252947
136,1433,-76.26654263546598,2.214735171808487
137,1443,-42.533153757640974,2.214735171808487
138,1452,-42.533153757640974,23.576032209252944
139,1461,-70.63647628250062,2.214735171808487
140,1470,-70.63647628250062,2.214735171808487
141,1482,56.35448640805314,56.35448640805314
142,1490,-76.26654263546598,2.214735171808487
143,1498,14.545364516932704,33.24482417463058
144,1507,-70.63647628250064,2.214735171808487
145,1515,-70.63647628250064,2.214735171808487
146,1527,-7.4159972671577705,26.435874046762947
147,1537,52.13134969646421,52.13134969646421
148,1545,-76.26654263546598,2.214735171808487
149,1553,-76.26654263546598,2.214735171808487
150,1561,-72.9642374805145,2.214735171808487
151,1569,-76.26654263546598,2.214735171808487
152,1578,-76.26654263546598,2.214735171808487
153,1586,-40.24545704695988,2.214735171808487
154,1595,-76.26654263546598,2.214735171808487
155,1608,-68.93700268341952,0.0
156,1617,-70.63647628250064,2.214735171808487
157,1626,-70.63647628250064,0.0
158,1637,-70.63647628250064,0.0
159,1646,-70.63647628250062,2.214735171808487
160,1656,-70.63647628250064,2.214735171808487
