step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
0,93.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,93.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,93.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,93.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,93.8,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,93.4,16.0,4.0,12.070433702102596,0.0,-10.922103611330243,0,20.9044776119403,2.0880597014925377,0.0,20.9044776119403,20.9044776119403,2.0880597014925377
6,93.3,20.749410635237062,14.280924235572826,11.50559850715035,0.0,-2.2395526548957716,0,6.589850929367429,7.155300232678691,0.0,27.49432854130773,27.49432854130773,9.24335993417123
7,93.3,20.749410635237062,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,27.49432854130773,27.49432854130773,9.24335993417123
8,93.3,20.749410635237062,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,27.49432854130773,27.49432854130773,9.24335993417123
9,93.3,20.749410635237062,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,27.49432854130773,27.49432854130773,9.24335993417123
10,93.3,20.749410635237062,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,27.49432854130773,27.49432854130773,9.24335993417123
11,93.0,47.76133208534675,14.280924235572826,31.45100546626645,0.0,-5.91827413126031,0,37.40125181596461,-0.03197221843785023,0.0,64.89558035727234,64.89558035727234,9.211387715733379
12,93.0,47.76133208534675,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,64.89558035727234,64.89558035727234,9.211387715733379
13,93.0,47.76133208534675,14.280924235572826,0.0,0.0,0.0,0,0.0,0.0,0.0,64.89558035727234,64.89558035727234,9.211387715733379
14,83.8,86.9077981974478,28.56184847114565,-8.40283208161788,0.0,-58.757281021852876,0,42.404023955356394,7.950424984878602,0.0,107.29960431262873,107.29960431262873,17.161812700611982
15,90.2,88.91852860145521,28.56184847114565,40.67322127455645,0.0,28.300449543022104,0,11.008623744852756,1.3641479866815849,0.0,118.30822805748149,118.30822805748149,18.525960687293566
16,90.2,88.91852860145521,28.56184847114565,0.0,0.0,0.0,0,0.0,0.0,0.0,118.30822805748149,118.30822805748149,18.525960687293566
17,90.2,88.91852860145521,28.56184847114565,0.0,0.0,0.0,0,0.0,0.0,0.0,118.30822805748149,118.30822805748149,18.525960687293566
18,90.2,88.91852860145521,28.56184847114565,0.0,0.0,0.0,0,0.0,0.0,0.0,118.30822805748149,118.30822805748149,18.525960687293566
19,89.8,96.0415806644306,28.56184847114565,6.2242796535958815,0.0,-2.706620258648554,0,9.016159161412034,-0.08525924916759813,0.0,127.32438721889352,127.32438721889352,18.440701438125966
20,10.4,273.1622248690623,114.2473938845826,-188.3347936428793,0.0,-91.73796747598035,0,-86.32308664220326,-10.273739524695674,0.0,41.001300576690255,41.001300576690255,8.166961913430292
