episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
25,322,5.248552719274638,-18.36301742436949,321,21.469637214046987,2.1419329295971403,23.611570143644126,5.248552719274638
26,328,5.248552719274638,-18.36301742436949,327,21.469637214046987,2.1419329295971403,23.611570143644126,5.248552719274638
27,334,-25.366913624580416,-inf,0,-inf,-inf,-inf,0.0
28,345,5.124955158787344,-4.258255761604424,340,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
29,352,-31.85739424047469,-inf,0,-inf,-inf,-inf,0.0
30,363,5.356908324082551,-4.258255761604424,358,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
31,370,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
32,377,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
33,388,32.05542603161494,-22.08908389471744,388,48.69807796846058,5.446431957871801,54.14450992633238,32.05542603161494
34,401,5.356908324082551,-4.258255761604424,397,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
35,412,5.11481494661274,-4.258255761604428,407,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
36,420,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
37,430,5.855670169564174,-16.711051805665207,427,22.781061334230728,2.2861701601083753,25.067231494339104,8.356179688673897
38,435,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
39,442,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
40,449,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
41,453,-18.308537817526915,-inf,0,-inf,-inf,-inf,0.0
42,460,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
43,471,5.124955158787351,-2.9591370656300278,467,23.07249649767718,2.287345495039373,25.35984199271655,22.40070492708653
44,478,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
45,486,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
46,498,-21.265183491358997,-inf,0,-inf,-inf,-inf,0.0
47,509,5.124955158787348,-2.9591370656300304,505,23.072496497677182,2.2873454950393732,25.359841992716554,22.400704927086526
48,514,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
49,524,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
50,531,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
51,541,31.18259425731819,-22.089083894717433,541,48.226130140269554,5.045548011766067,53.27167815203562,31.18259425731819
52,550,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
53,559,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
54,566,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
55,573,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
