step,acc,bcr,mcr,r,dr,ar,tr,br,mr,bonus,total_ar,total_bcr,total_mcr
21,51.7,33.97669759233493,8.425208069627365,-56.55909843694475,0.0,-43.92160622277319,0,-11.312954229571721,-1.3245379845998355,0.0,33.11555609450109,33.11555609450109,3.5794144566991486
22,51.7,33.97669759233493,8.425208069627365,0.0,0.0,0.0,0,0.0,0.0,0.0,33.11555609450109,33.11555609450109,3.5794144566991486
23,71.15,1.05688700522612,1.0,-1.985970195328577,0.0,-2.0625528562489115,0,0.07756511706068515,-0.000982456140350818,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
24,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
25,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
26,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
27,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
28,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
29,71.15,1.05688700522612,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07756511706068515,0.07756511706068515,-0.000982456140350818
30,66.65,1.0627376659649137,1.0251658915542585,-35.332370229324674,0.0,-35.21884955130469,0,-0.08578895409666948,-0.02773172392331321,0.0,-0.008223837035984324,-0.008223837035984324,-0.028714180063664028
31,66.6,16.99501047164534,4.100663566217034,22.667913718167423,0.0,-0.19236060536379496,0,20.84843122477228,2.011843098758936,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
32,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
33,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
34,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
35,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
36,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
37,66.6,16.99501047164534,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.840207387736296,20.840207387736296,1.9831289186952719
38,66.35,17.04492414491812,4.100663566217034,-0.9654439523240821,0.0,-0.9369613041997993,0,-0.018410842873925047,-0.010071805250357712,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
39,66.35,17.04492414491812,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
40,66.35,17.04492414491812,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
41,66.35,17.04492414491812,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
42,66.35,17.04492414491812,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
43,66.35,17.04492414491812,4.100663566217034,0.0,0.0,0.0,0,0.0,0.0,0.0,20.82179654486237,20.82179654486237,1.9730571134449142
44,25.45,56.17914045206461,8.201327132434068,-39.56654654080441,0.0,-44.81582505332343,0,5.871716076991124,-0.6224375644721012,0.0,26.693512621853493,26.693512621853493,1.350619548972813
45,25.45,56.17914045206461,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,26.693512621853493,26.693512621853493,1.350619548972813
46,69.5,33.46751090651119,8.201327132434068,82.4945692526367,0.0,61.335075090881176,0,17.610189991529495,3.549304170226028,0.0,44.30370261338299,44.30370261338299,4.899923719198841
47,69.4,33.58640720866331,8.201327132434068,-0.684639838851455,0.0,-0.772954509601187,0,0.09637211495001735,-0.008057444200285424,0.0,44.400074728333,44.400074728333,4.891866274998556
48,69.4,33.58640720866331,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.400074728333,44.400074728333,4.891866274998556
49,69.4,33.58640720866331,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.400074728333,44.400074728333,4.891866274998556
50,69.4,33.58640720866331,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.400074728333,44.400074728333,4.891866274998556
51,69.4,33.58640720866331,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.400074728333,44.400074728333,4.891866274998556
52,69.4,33.58640720866331,8.201327132434068,0.0,0.0,0.0,0,0.0,0.0,0.0,44.400074728333,44.400074728333,4.891866274998556
53,51.35,33.78023990545546,8.425208069627365,-56.174864777463924,0.0,-43.11703676874215,0,-11.716405299516273,-1.341422709205494,0.0,32.68366942881673,32.68366942881673,3.5504435657930618
54,51.35,33.78023990545546,8.425208069627365,0.0,0.0,0.0,0,0.0,0.0,0.0,32.68366942881673,32.68366942881673,3.5504435657930618
55,67.3,1.021560457275555,1.0251658915542585,-34.68269817352409,0.0,-34.61142787788372,0,-0.04910278898943447,-0.022167506650931656,0.0,-0.04910278898943447,-0.04910278898943447,-0.022167506650931656
56,67.3,1.021560457275555,1.0251658915542585,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.04910278898943447,-0.04910278898943447,-0.022167506650931656
57,53.1,1.0389843032226664,1.0531510087034206,-29.67293346754749,0.0,-29.277659427680195,0,-0.26685379905866347,-0.1284202408086312,0.0,-0.31595658804809795,-0.31595658804809795,-0.15058774745956285
58,53.1,1.0389843032226664,1.0531510087034206,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.31595658804809795,-0.31595658804809795,-0.15058774745956285
59,71.25,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,71.25,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
