episode,step,score,best_score
1,22,-28.721026780714567,-7.442327947788507
2,54,-29.547352563293007,5.5497819528193
3,58,-64.35563164107158,-34.68269817352409
4,169,-20.168577958875733,22.30401822314216
5,183,-22.362248778386995,-13.315191433088192
6,220,-26.741441916267988,21.364175797646112
7,225,-64.35563164107158,0.0
8,240,-22.362248778386995,0.0
9,285,-23.84974809304792,25.08479296124154
10,328,2.4463937547230596,32.98002706797031
11,369,5.402424202122646,31.432187084145887
12,416,21.754788707294004,27.667934255915682
13,451,6.615000799041836,27.918680236857597
14,501,22.673827947890857,27.167439616352365
15,545,22.596748808030313,22.596748808030313
16,573,-41.79933590709595,0.0
17,619,20.251251905741864,26.686022914799334
18,643,-25.95134242418137,0.0
19,661,-38.9436719959393,0.0
20,700,6.014505579569743,28.083207162474878
21,747,14.06710104206934,31.8771046522086
22,791,5.2570834806509925,30.328678629314084
23,840,21.40326055942291,21.40326055942291
24,887,25.92809365903657,25.92809365903657
25,898,-42.10353682252639,16.868297608572426
26,936,3.636021311558308,33.825856950648614
27,983,25.38703129430136,34.397901034096265
28,1023,-2.1281443163984815,27.982269993988368
29,1067,28.672423862670172,33.20145399482539
30,1085,-60.927241175167225,0.0
31,1098,-14.992459034017473,22.48313841669779
32,1140,25.928093659036563,25.928093659036563
33,1186,3.2967569799390346,31.928617712893953
34,1228,-26.53499263401292,0.0
35,1272,25.928093659036577,25.928093659036577
36,1285,-61.61354206348193,0.0
37,1329,28.04219594795185,31.16325119487726
38,1376,25.928093659036584,25.928093659036584
39,1425,23.72601067158414,30.065054247488675
40,1469,22.947866025436788,29.427707788101714
41,1516,27.28107614524848,29.65809550653038
42,1566,12.613952513838683,31.276229049742753
43,1609,25.92809365903654,25.92809365903654
44,1653,27.526747933108524,27.526747933108524
45,1693,-4.645122774244376,27.918680236857597
46,1697,-64.35563164107158,0.0
47,1733,8.508809064977367,32.54767501434417
48,1776,24.045976047785498,32.24513238676686
49,1820,30.566871536992863,36.65573486477451
50,1857,-8.666933876429013,30.035977744653636
51,1902,24.437532945730215,29.59147314857636
52,1948,26.467673476626626,32.40804959155147
53,1952,-64.35563164107158,0.0
54,1998,25.928093659036563,25.928093659036563
55,2048,26.75868011506468,30.820890383766127
56,2092,23.74168877735626,23.74168877735626
57,2134,25.78076905971245,29.82413654986601
58,2180,22.920611804816467,22.920611804816467
59,2226,28.672423862670144,33.201453994825364
60,2231,-47.114995718393246,0.0
61,2259,-64.68014388632913,0.0
62,2302,22.596748808030313,22.596748808030313
63,2349,23.038721341292636,29.173616783909218
64,2393,25.43732728348823,25.43732728348823
65,2424,-35.637756429308105,19.083747070387776
66,2470,22.596748808030313,22.596748808030313
67,2518,23.537236821751858,31.10699231332115
68,2534,-32.06430546675931,1.873071177805727
69,2569,-54.01221690312234,-1.985970195328577
70,2610,25.928093659036534,25.928093659036534
71,2654,21.678668075601635,31.313034279338652
72,2700,23.74168877735626,23.74168877735626
73,2744,24.848023984167398,24.848023984167398
74,2785,25.928093659036563,25.928093659036563
75,2832,6.728813163144308,29.66295261028997
76,2876,23.945759628589474,33.92431990264129
77,2906,-53.978441995344554,0.0
78,2928,-54.93660687465781,0.0
79,2971,-0.141504732157131,33.488478645902916
80,3016,22.315149845710874,30.92141828051303
81,3063,28.28184657426152,35.110686725751876
82,3109,23.585160414306934,29.87404216976716
83,3153,23.741688777356217,28.831043361291385
84,3195,25.326397036118827,31.721096665181058
85,3241,23.88979960448178,30.67751040155244
86,3283,23.67593479375529,23.67593479375529
87,3312,-35.127153063169786,8.111975572892344
88,3356,21.55459784991274,21.55459784991274
89,3399,25.928093659036563,25.928093659036563
90,3443,23.961806215548677,23.961806215548677
91,3485,25.43732728348823,25.43732728348823
92,3527,25.92809365903659,25.92809365903659
93,3568,20.251251905741853,20.251251905741853
94,3610,25.92809365903659,27.16298909585575
95,3652,27.61202020476179,27.61202020476179
96,3698,22.947866025436756,27.845520017139563
97,3744,24.04597604778549,33.457950903879485
98,3789,21.67515851817445,30.700259325346877
99,3826,-60.31895384516181,0.0
100,3847,-62.06719776842017,0.0
101,3877,-58.76448524413735,0.0
102,3920,24.331943898759015,32.157781623380295
103,3961,23.67593479375529,23.67593479375529
104,3986,-40.25484256185206,4.213126685658793
105,4032,21.972943285100047,28.09501300973884
106,4077,25.928093659036563,25.928093659036563
107,4122,23.74168877735626,23.74168877735626
108,4126,-64.35563164107158,0.0
109,4170,24.57084681727663,24.57084681727663
110,4210,25.928093659036563,25.928093659036563
111,4251,27.61202020476179,27.61202020476179
112,4291,25.92809365903659,25.92809365903659
113,4333,25.928093659036563,25.928093659036563
114,4374,25.928093659036534,25.928093659036534
115,4419,7.013325357461788,26.89056019779514
116,4423,-64.35563164107158,0.0
117,4465,-5.223165472701602,21.66994170648745
118,4511,23.29094533070834,23.29094533070834
